City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
Mataura,36,NZ,1552256681,70,-46.19,168.86,57.64,4.63
Punta Arenas,75,CL,1552256591,58,-53.16,-70.91,59.0,14.99
Rawson,0,AR,1552256683,19,-43.3,-65.11,91.03,17.16
Suluq,0,LY,1552256684,28,31.67,20.25,53.18,6.64
Fairbanks,20,US,1552256645,41,64.84,-147.72,42.01,5.82
Ereymentau,56,KZ,1552256688,85,51.62,73.1,16.06,11.68
Hobart,20,AU,1552256415,62,-42.88,147.33,60.01,9.17
Toyooka,75,JP,1552253400,93,35.55,134.82,51.8,14.99
Vilcun,20,CL,1552256158,72,-38.65,-72.23,73.99,11.41
Ilulissat,76,GL,1552254600,66,69.22,-51.1,12.2,8.05
Los Llanos de Aridane,0,ES,1552256405,77,28.66,-17.92,66.0,11.41
Tuatapere,32,NZ,1552256695,91,-46.13,167.69,59.57,4.97
Marfino,0,RU,1552256488,96,56.07,37.56,36.0,6.71
Esperance,40,TT,1552256408,69,10.24,-61.45,82.99,13.87
Avera,90,US,1552256697,73,33.19,-82.53,75.2,5.82
Techiman,48,GH,1552256700,63,7.58,-1.94,81.85,5.75
Alofi,88,NU,1552251600,74,-19.06,-169.92,84.2,10.29
Kotma,0,IN,1552256704,70,23.2,81.98,59.57,3.62
Isangel,75,VU,1552251600,88,-19.55,169.27,80.6,3.36
Jamestown,88,AU,1552256707,95,-33.21,138.6,62.14,3.06
Kavieng,88,PG,1552256708,100,-2.57,150.8,81.49,12.01
Nome,20,US,1552256706,61,30.04,-94.42,81.0,10.29
Rikitea,48,PF,1552256711,100,-23.12,-134.97,75.73,12.8
Oudtshoorn,92,ZA,1552255860,93,-33.59,22.2,62.6,9.17
Beringovskiy,88,RU,1552256717,91,63.05,179.32,6.83,29.35
Lagoa,0,PT,1552256536,72,37.14,-8.45,62.6,6.93
Marawi,36,PH,1552256194,86,8.0,124.29,71.01,5.99
Bambous Virieux,20,MU,1552256647,88,-20.34,57.76,73.99,5.82
Guerrero Negro,36,MX,1552256723,80,27.97,-114.04,59.89,8.66
Dubrovnik,40,HR,1552255200,66,42.65,18.09,55.4,14.99
Mahebourg,20,MU,1552256647,88,-20.41,57.7,73.99,5.82
Namibe,0,AO,1552256726,100,-15.19,12.15,79.15,8.43
Ushuaia,75,AR,1552255200,58,-54.81,-68.31,57.2,20.8
Cabo San Lucas,75,MX,1552256463,60,22.89,-109.91,81.0,13.87
Busselton,8,AU,1552256718,61,-33.64,115.35,62.01,13.02
Aksarka,92,RU,1552256731,89,66.56,67.8,23.21,7.43
Atuona,88,PF,1552256732,100,-9.8,-139.03,82.21,8.99
Coquimbo,0,CL,1552255200,60,-29.95,-71.34,68.0,2.24
Half Moon Bay,75,US,1552256540,71,37.46,-122.43,57.99,12.75
Avarua,64,CK,1552255200,74,-21.21,-159.78,84.2,13.87
Clyde River,1,CA,1552255200,68,70.47,-68.59,-20.21,6.93
Kaeo,0,NZ,1552255685,68,-35.1,173.78,73.0,1.99
Castro,0,CL,1552255200,53,-42.48,-73.76,71.6,5.82
Olinda,75,EC,1552256725,78,-2.03,-79.75,84.0,4.7
Kamenz,75,DE,1552256721,100,51.27,14.09,39.0,20.8
